?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0001917>	"UMLS:C1179025"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"XAO:0000357"
<http://purl.obolibrary.org/obo/UBERON_0001917>	<http://linkedlifedata.com/resource/umls/id/C1179025>
<http://purl.obolibrary.org/obo/UBERON_0001917>	"MA:0000707"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"FMA:62116"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"NCIT:C12664"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"GAID:17"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"EFO:0000213"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"UMLS:C0230168"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"OpenCyc:Mx4rvZR1TJwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0003684>	<http://linkedlifedata.com/resource/umls/id/C0230168>
<http://purl.obolibrary.org/obo/UBERON_0003684>	"MESH:A01.047.025"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"FMA:12266"
<http://purl.obolibrary.org/obo/UBERON_0003684>	<http://www.snomedbrowser.com/Codes/Details/361294009>
<http://purl.obolibrary.org/obo/UBERON_0003684>	<http://en.wikipedia.org/wiki/Abdominal_cavity>
<http://purl.obolibrary.org/obo/UBERON_0003684>	"MA:0003057"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"galen:AbdominalCavity"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"EMAPA:36505"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"MESH:D034841"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"Wikipedia:Abdominal_cavity"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"SCTID:361294009"
<http://purl.obolibrary.org/obo/UBERON_0015129>	"FMA:9871"
<http://purl.obolibrary.org/obo/UBERON_0015129>	<http://www.snomedbrowser.com/Codes/Details/42267001>
<http://purl.obolibrary.org/obo/UBERON_0004852>	"NCIT:C13053"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"MA:0000717"
<http://purl.obolibrary.org/obo/UBERON_0004852>	<http://linkedlifedata.com/resource/umls/id/C0014261>
<http://purl.obolibrary.org/obo/UBERON_0004852>	"XAO:0000356"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"UMLS:C0014261"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"VHOG:0001217"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"MESH:D004730"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"ZFA:0001639"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"TAO:0002171"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"EMAPA:35201"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"BTO:0001853"
<http://purl.obolibrary.org/obo/UBERON_0004852>	"GAID:519"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"FBbt:00004864"
<http://purl.obolibrary.org/obo/UBERON_0000474>	<http://linkedlifedata.com/resource/umls/id/C0700038>
<http://purl.obolibrary.org/obo/UBERON_0000474>	"EV:0100110"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"FMA:45663"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"GAID:364"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"HAO:0000324"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"BTO:0000083"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"EHDAA:8116"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"EFO:0000969"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"WikipediaCategory:Female_reproductive_system"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"OpenCyc:Mx4rvVipTZwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"NCIT:C12402"
<http://purl.obolibrary.org/obo/UBERON_0000474>	<http://en.wikipedia.org/wiki/Female_genitalia>
<http://purl.obolibrary.org/obo/UBERON_0000474>	"EMAPA:17959"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"VHOG:0000726"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"TGMA:0000635"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"CALOHA:TS-1303"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"UMLS:C0700038"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"MA:0000381"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"MIAA:0000028"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"EHDAA2:0000506"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"MESH:D005836"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"XAO:0000156"
<http://purl.obolibrary.org/obo/UBERON_0000474>	<http://www.snomedbrowser.com/Codes/Details/361386004>
<http://purl.obolibrary.org/obo/UBERON_0000474>	"SCTID:361386004"
<http://purl.obolibrary.org/obo/UBERON_0000474>	"Wikipedia:Female_genitalia"
<http://purl.obolibrary.org/obo/CL_0002092>	"FMA:83621"
<http://purl.obolibrary.org/obo/CL_0002092>	"BTO:0004850"
<http://purl.obolibrary.org/obo/CL_0002092>	"MESH:D001854"
<http://purl.obolibrary.org/obo/GO_0030054>	"Wikipedia:Cell_junction"
<http://purl.obolibrary.org/obo/UBERON_0019304>	"MA:0003174"
<http://purl.obolibrary.org/obo/UBERON_0019304>	"EMAPA:35952"
<http://purl.obolibrary.org/obo/UBERON_0016514>	"EMAPA:26038"
<http://purl.obolibrary.org/obo/UBERON_0016514>	"FMA:9466"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"BAMS:MES"
<http://purl.obolibrary.org/obo/UBERON_0009616>	<http://en.wikipedia.org/wiki/Mesencephalon>
<http://purl.obolibrary.org/obo/UBERON_0009616>	"TAO:0000148"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"EFO:0003432"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"EHDAA2:0000615"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"EMAPA:16140"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"ZFA:0000148"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"Wikipedia:Mesencephalon"
<http://purl.obolibrary.org/obo/UBERON_0007242>	"EV:0100032"
<http://purl.obolibrary.org/obo/UBERON_0007242>	"EMAPA:36308"
<http://purl.obolibrary.org/obo/UBERON_0007242>	"FMA:14353"
<http://purl.obolibrary.org/obo/UBERON_0007242>	<http://www.snomedbrowser.com/Codes/Details/2436009>
<http://purl.obolibrary.org/obo/UBERON_0007242>	"SCTID:2436009"
<http://purl.obolibrary.org/obo/UBERON_0022350>	"FMA:15860"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"ZFA:0000028"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"UMLS:C1514450"
<http://purl.obolibrary.org/obo/UBERON_0003084>	<http://linkedlifedata.com/resource/umls/id/C1514450>
<http://purl.obolibrary.org/obo/UBERON_0003084>	"BTO:0001887"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"XAO:0000336"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"TAO:0000028"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"NCIT:C34276"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"AAO:0011044"
<http://purl.obolibrary.org/obo/UBERON_0000332>	<http://www.snomedbrowser.com/Codes/Details/328639002>
<http://purl.obolibrary.org/obo/UBERON_0000332>	"FMA:74596"
<http://purl.obolibrary.org/obo/UBERON_0000332>	<http://www.snomedbrowser.com/Codes/Details/5023006>
<http://purl.obolibrary.org/obo/UBERON_0000332>	"BTO:0000635"
<http://purl.obolibrary.org/obo/UBERON_0000332>	"SCTID:328639002"
<http://purl.obolibrary.org/obo/UBERON_0000332>	"SCTID:5023006"
<http://purl.obolibrary.org/obo/UBERON_0005744>	"ZFA:0005386"
<http://purl.obolibrary.org/obo/UBERON_0005744>	"AAO:0010438"
<http://purl.obolibrary.org/obo/UBERON_0005744>	"VHOG:0001760"
<http://purl.obolibrary.org/obo/UBERON_0005744>	"TAO:0001736"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"XAO:0003193"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"ZFA:0000009"
<http://purl.obolibrary.org/obo/UBERON_0002082>	<http://www.snomedbrowser.com/Codes/Details/277699000>
<http://purl.obolibrary.org/obo/UBERON_0002082>	<http://linkedlifedata.com/resource/umls/id/C0018827>
<http://purl.obolibrary.org/obo/UBERON_0002082>	"OpenCyc:Mx4rvVjj1pwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"FMA:7100"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"galen:Ventricle"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"MA:0000091"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"EV:0100020"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"TAO:0000009"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"NCIT:C12730"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"EMAPA:17331"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"MESH:D006352"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"VHOG:0000435"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"EHDAA2:0004164"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"BTO:0000862"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"EHDAA:1912"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"UMLS:C0018827"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"EFO:0000317"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"CALOHA:TS-0444"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"GAID:568"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"AAO:0010249"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"MAT:0000497"
<http://purl.obolibrary.org/obo/UBERON_0002082>	<http://en.wikipedia.org/wiki/Ventricle_(heart)>
<http://purl.obolibrary.org/obo/UBERON_0002082>	"SCTID:277699000"
<http://purl.obolibrary.org/obo/UBERON_0002082>	"Wikipedia:Ventricle_(heart)"
<http://purl.obolibrary.org/obo/UBERON_0000069>	<http://en.wikipedia.org/wiki/Larva>
<http://purl.obolibrary.org/obo/UBERON_0000069>	"ZFS:0000048"
<http://purl.obolibrary.org/obo/UBERON_0000069>	"EFO:0001303"
<http://purl.obolibrary.org/obo/UBERON_0000069>	"MIAA:0000400"
<http://purl.obolibrary.org/obo/UBERON_0000069>	"OGES:000008"
