?x	?p	?y
<http://purl.obolibrary.org/obo/UBERON_0010378>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0004873>
<http://purl.obolibrary.org/obo/UBERON_0022351>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000042>
<http://purl.obolibrary.org/obo/UBERON_0007237>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000922>
<http://purl.obolibrary.org/obo/UBERON_0003439>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002100>
<http://purl.obolibrary.org/obo/UBERON_0004292>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000948>
<http://purl.obolibrary.org/obo/CL_0000499>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000134>
<http://purl.obolibrary.org/obo/UBERON_0003898>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0013700>
<http://purl.obolibrary.org/obo/UBERON_0012314>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000033>
<http://purl.obolibrary.org/obo/UBERON_0000982>	<http://purl.obolibrary.org/obo/RO_0002433>	<http://purl.obolibrary.org/obo/UBERON_0001434>
<http://purl.obolibrary.org/obo/UBERON_0005730>	<http://purl.obolibrary.org/obo/RO_0002387>	<http://purl.obolibrary.org/obo/UBERON_0003412>
<http://purl.obolibrary.org/obo/UBERON_0011582>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002091>
<http://purl.obolibrary.org/obo/UBERON_0003430>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000974>
<http://purl.obolibrary.org/obo/UBERON_0002328>	<http://purl.obolibrary.org/obo/BSPO_0000098>	<http://purl.obolibrary.org/obo/UBERON_0001555>
<http://purl.obolibrary.org/obo/CL_0000095>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000133>
<http://purl.obolibrary.org/obo/UBERON_0001072>	<http://purl.obolibrary.org/obo/RO_0002179>	<http://purl.obolibrary.org/obo/UBERON_0000154>
<http://purl.obolibrary.org/obo/UBERON_0001074>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002406>
<http://purl.obolibrary.org/obo/UBERON_0010096>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002028>
<http://purl.obolibrary.org/obo/UBERON_0003068>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000922>
<http://purl.obolibrary.org/obo/UBERON_0003365>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002168>
